id编号,标题,点赞数量,投币数量,收藏数量,播放次数,评论1,评论2,评论3,评论4,评论5
1,【Python教程】《零基础入门学习Python》最新版（完结撒花🎉）,17.0万,15.2万,42.6万,843.6万,"置顶
本系列视频配套教材：
零基础入门学习Python 小甲鱼 python编程从入门到精通实践 pathon语言程序设计实战基础教程全套 计算机电脑编程入门自学书籍","基础系列
【完结】：【Python教程】《零基础入门学习Python》
【最新】：【Python教程】《零基础入门学习Python》最新版（完结撒花🎉）
进阶系列
【机器视觉】：【OpenCV篇】《通过案例学习图像处理及计算机视觉开发》（小甲鱼）
【绘图】：【绘图篇】《极客Python之效率革命》
【爬虫】：【爬虫篇】《极客Python之效率革命》
【办公】：【办公篇】《极客Python之效率革命》
小甲鱼：扎实打下基本功之后，大家可以继续学习下面的极客系列教程哦","看完36集啦，记了四千字左右的笔记，发一部分到这里啦，大家不要喷哦
1、python中两变量互换值：
e.g.
x = 3
y = 5
x, y = y, x
   则两个变量的值互换
2、print()的使用
①  输出字符串或者数字 print(“wo”)print(22)
②  输出运算结果 print(25+25) 50
③  可以连接字符串 print(“lo”+”ve”) love
④  可输出多组数字或字符串，中间用“,”隔开。在输出端来看会在之间有空格
3、input()的使用
①  以换行作为结束标志
4、\n：换行
5、type()：用来判断数据类型
6、字符串：
①  single quotes: ‘aaa’
②  double quotes “aaa”  功能同上，当字符串中出现‘时，为能输出，就使用double。同理当字符串中有“时，可用single
③  当同时有‘和“时，可使用转义字符\
7、python中区分大小写
8、help()查看一个函数的帮助文档
9、原始字符串：用于输出函数中，使输出为原始的字符，不再转义，常用在输出地址的时候，例：print(r”D:\three\one\now”) 如果没有r，就需要转义每一个\，很麻烦
10、\在输出函数中，用来续行，例：print(“aaaa\n\
Bbbbb\n”) 这样b这行才能输出去。
11、triple quotes：三个‘或者“，要前后呼应。输出长字符串，为了避免打很多\，而应用的功能。例：print(’’’aaaa
Bbbbb’’’) 输出同上，为：
aaaa
Bbbbb
13、拼接：字符串相加 例>>>’520’+’1314’
’5201314’
14、复制：字符串乘法 例>>>print(‘3000bian’*3000)
(此处为三千遍的3000bian)
15、range（start, stop， step）
①  step默认为1，>>>range（1，5）
[1,2,3,4,5)
②  start默认为0，>>>range(5)
[0,1,2,3,4,5)
③  在默认这事上，优先级：stop
start，stop
start, stop, step","1、变量
（1）变量名不能以数字开头
（2）变量名区分大小写
（3）变量名可以用汉子
（4）x,y=y,x可以实现x,y值互换
2、字符串
（1）用单引号或者双引号将内容引起
（2）用单还是双取决于字符串中有没有不可避免的单或双引号，以免系统误会
（3）是在不能避免单双引号冲突时，可以用转义字符代替【加上去\即可转义】
示例：\""="" ; \\=\ ; \n=换行 ; 
（4）原始字符串：转义字符需要正常使用，不作为转义字符时，可以在前面加上r，表示原始字符串，转义不生效
示例：print(r""D:\wenjianjiaA\wenjianjiaB\wenjianjiaC"")
（5）长字符串：前后用三个单引号或双引号，实现跨行字符串，即不用\n即可做换行。
示例：
""""""你好呀
我不用\n就可以换行了
怎么样""""""
（6）字符串相加就是拼接
示例：""520""+""1314""，最后得到5201314
（7）字符串乘以数字就是重复
示例：""我每天爱你3000遍""*3000，最后得到重复3000次的这句话",同为一个学习者，看到弹幕里有些在B作业进阶课资料要鱼币散了散了，进阶课弹幕明显比这儿少很多，就因为10个鱼币我也是服了，难道你想要全都免费？小甲鱼讲这么好，你们在这边把免费的都啃光，一听要钱就不爽，可以直接去B站课程里看收费的（除了普通话，其他没什么比小甲鱼强的，既不详细又不骚，0基础根本听不了），鱼币签到可以赚，大不了买个会员，199贵吗（学生例外）？就不能支持一下，别老做伸手党了行吧
2,黑马程序员python教程，8天python从入门到精通，学python看这套就够了,12.1万,10.7万,31.0万,799.0万,"置顶
教程配套资料关注微信公众号：黑马程序员，回复：领取资源02
点赞，转发+收藏，关注黑马不迷茫
Python+大数据学习q群628763225，告别孤单，共同进步！
2023Python+大数据学习路线图
资源下载问题
黑马程序员教程资源下载指南

Python+大数据开发
Linux入门：黑马程序员新版Linux零基础快速入门到精通，全涵盖linux系统知识、常用软件环境部署、Shell脚本、云平台实践、大数据集群项目实战等
MySQL数据库：黑马程序员MySQL知识精讲+mysql实战案例_零基础mysql数据库入门到高级全套教程
Hadoop入门：2023新版黑马程序员大数据入门到实战教程，大数据开发必会的Hadoop、Hive，云平台实战项目全套一网打尽
Hive数仓项目：黑马程序员大数据项目实战教程_大数据企业级离线数据仓库，在线教育项目实战（Hive数仓项目完整流程）

PB内存计算
Python入门：黑马程序员python教程，8天python从入门到精通，学python看这套就够了
Python编程进阶：黑马程序员Python高级语法进阶教程_python多任务及网络编程，从零搭建网站全套教程
spark3.2从基础到精通：黑马程序员Spark全套视频教程，4天spark3.2快速入门到精通，基于Python语言的spark教程
Hive+Spark离线数仓工业项目实战：全网首次披露大数据Spark离线数仓工业项目实战，Hive+Spark构建企业级大数据平台

教程学习可能遇到的问题答疑（非技术型）：黑马程序员学习常见问题答疑
==============================================================================================
喜大普奔！
黑马程序员主办的全日制统招大学——大同互联网职业技术学院https://space.bilibili.com/3493265607232348
预计2024年开始招生，敬请持续关注！","九九乘法表我码出来的是这样的
a = 1
b = 0
while b <= 8:
    b += 1
    while a < b:
        print(f""{a}*{b}={a*b}\t"" ,end='')
        a += 1
    if a == b:
        print(f""{a}*{b}={a*b}"")
        a = 1
比老师的多了一个判断语句，好像更麻烦一些呢","Hi，各位小伙伴，本次给大家带来一套Python3.10的新版本零基础入门课程。
课程可以衔接当下热门的大数据或人工智能等技术方向。
学习完毕即可切入以上高薪就业方向，冲刺年薪30W。从入门到就业，在黑马程序员一站搞定。

课程主要安排3部分：
一、Python基础语法
二、Python高阶加强
三、大数据分析项目实战（Pandas、PySpark、PyFlink）
为保证小伙伴们可以第一时间学习到最新的Python课程，本次先期上线第一部分：Python基础语法内容
第二和第三部分课程在紧锣密鼓的录制中，很快就会和大家见面哟。

课程由Apache Flink开源社区源码贡献者曹老师录制，小伙伴们在遇到学习问题的时候可以留下评论。
我会一一解答大家的疑惑，和小伙伴们多多交流。
由于咱们这套课是新课，没有原始的流量数据积累，小伙伴们在听到好的点时可以多多发表弹幕、点赞、分享来一波~~感谢大家支持","p28

print(""欢迎你来到黑马儿童游乐场，儿童免费，成人收费"")
age = input(""请输入你的年龄: "")
if int(age) >= 18:
    print(""您已成年，游玩需要补票10元"")
print(""祝您游玩愉快"")","大家可以试一试二进制转汉字p3内容
111001011011000010110001 111001101001110110100101 111010011011101110010001 111010011010100110101100 111001111010100010001011 111001011011101010001111 111001011001000110011000"
3,【全站最系统】冒死上传B站最全Python课程，整整三百集！价值3W的课程现在免费分享给大家~拿走不谢，学不会直接退出IT界！python零基础入门，小白学习,8386,4743,1.7万,13.7万,"置顶
领取视频资料的同学请
➕V：【riyu2324】备注：课程，先到先得哦！
请认准up主只有这一个号发大家❗其他号都不是up主，以免上当受骗",刚刚高考完 看这个会不会有点快了,"三连了，求激活码
顺便问一下，VS cord可不可以支持Python",已投币,@python-学习库 老师有练习和作业之类的资料吗？
4,20分钟学完一遍python基础,5918,2693,1.1万,15.9万,3:09处，应为print(s1+s2*3) #OHHH,感谢up！！！完全零基础！一晚上跟着这个视频，把上面内容自己在Python打了一遍，然后就上机考试了，然后过了！成绩还可！！视频讲的都学会对于考试很可以了,零基础学习，二十分钟学完学校老师墨迹一学期的python内容,我擦，不愧是20分钟，开头秒过注释变量啥的，真是赶时间,最近半年都没怎么用python了，好多东西都忘了。感谢UP
5,【B站最全最易学】华为公司终于将Python整理成了漫画书，漫画教学更生动，小白一学就会，拿走不谢，允许白嫖！！！为交流学习共享知识中好,4087,2574,1.7万,10.2万,"置顶
Python & pycharm安装包，学习思路，   留个“1”～",非常好的python视频，求UP分享。,已三连，求漫画书,"为什么我的输出是这个样子的
================= RESTART: C:\Users\guqunfeng\Desktop\hello.py =================
请输入N的值：
3
3年后,兔子的数量为6.
3年后,兔子的数量为12.
3年后,兔子的数量为24.
>>>",三连求书，求知若渴
6,B站唯一1个愿意公开学习python必练100题的老师！且看且珍惜！,1788,520,6207,4.7万,"建了一个零基础python学习小组，有需要加入-起学习的嘛④我呀

我是大学开始学习的python开发的，- -开始也是从简单基础的开始学起，现在也是工作3年了，大学期间和工作期间都收集了很多学习笔记和资料,分享给真正学习的友友们，都是自己整理的不嫌弃的来哈! ! !

工作3年了。学习期间都收集了适合零基础python学习的笔记和资料，分享给刚入门的友友们，都是自己整理的不嫌弃的来哈! ! !",学习,学习,学习,学习
7,2023-人工智能基础-机器学习入门全套教程：Python机器学习算法基础入门。,1542,1854,4162,5.3万,"置顶
【视频课程附赠:全套课件、源码及学习资料，配合其食用，学习效果更佳！免费分享，评论区留言获取  】  
-
【最近粉丝反映，有一些陌生人给你们发消息，别上当，小心被骗！本人只会用这个号发送资料】","视频附赠全套课件、代码及学习资料，配合其“食用”视频，学习效果更加哦。
（评论区找我获取叭）  ",讲的好好哦求资源！,大佬求代码和笔记全套资料，感谢大佬分享。,三连，请求全套课件、代码及学习资料。谢谢
8,【转码分享】劝退！但分享一些经验 | 零基础入门Python | 数据科学 | 机器学习,5475,4182,9996,12.7万,"置顶
这期视频是目前为止做的最长的视频，感觉对我现在的状态而言还是有些吃力，短期内后续的视频应该不会有这么长的视频。

虽然这还是一期转码分享，虽然可能大多数关注我的观众也是因为转码分享关注这个频道，但我还是想强调，这是一个程序员的频道，但并不是程序员频道，这个频道并没有做比较硬核的编程技术分享的打算，我也没有那个水平，这个频道只是我随机漫步探索更多可能中的一条分支，这里并不会有什么硬核技术，也不会靠输出情绪获取流量，这个频道分享的只是我在随机漫步中看到的更多可能以及美好的事物，你完全可以把这个频道当做一个播客、电台或者音乐频道。

最后希望这个频道的观众，能和这个频道一起，在2023年，旅途愉快。","非常认同up的思想和人生观点，对于“能把统计学思想用在每一次思考的人非常少”格外有感触，想分享一个观点：思想工具在职业发展的下半场非常重要。
我本科二本电气工程及其自动化专业、研究生211控制工程专业，毕业后在IT行业从业6年，就职于世界500强传统企业的IT部门，从前端开发、NodeJS开发、Java开发，发展成为现在的解决方案架构师。因为公司是大甲方，平台大视野广是最大的优势（劣势是大量软件交付依赖供应商，个人实际编码能力无从锤炼），并且部门组织架构相对复杂，而且都会有所合作，所以能实际体会到什么是“大体量”，也能从历史观角度看到各IT工种及个体的发展历程。
我认为至少在传统IT行业里，当年龄迈入30岁、职业进入成熟稳定期的时候，身边常驻的大部分人不会在软硬实力上有决定命运的差距（有差距的已经被淘汰或者晋升了），对于主管来说大家都是“能用”的。这时职业技能已经成熟，能学习提升的地方越来越少，很长一段时间将会是比较纯粹的为公司产出的岁月。那再过10年，这一群在稳定轨迹上发展的人靠什么再拉开差距呢？
我认为是思想工具，在我的观察里，那些四五十岁的IT从业者中，真正能决定方向的、能一针见血分析问题的、能高效带动事情发展的、有深刻洞见舌战群雄的人，除了拥有各自在职业生涯里积累的丰富经验，还都有着很强的模型思维、抽象思维、面向对象思维、批判性思维，我相信在数据类行业里一定也包括了up提到的统计学思维。
很多人都说35岁是程序员的诅咒，我所见到的能把岁月从诅咒变成祝福的，是在合适领域深耕的专才，和熟练运用思想工具能把握IT项目大方向的决策者。我也在师傅的带领和自己的刻意练习下逐渐掌握了一些思想，它们不仅能提高工作能力，还会给认识世界提供新的角度。主观的说，如果从这个世界应该是什么样开始推导，我也认为IT的发展应该从这些科学的方法论和思想中推演而来。
思想工具对于我个人的益处，我想用工作6年获得一次科室先进(2/30人)、两次部门先进(10/500人)、一次公司先进(50/2w人)作为背书。因为是有感而发分享的观点，没有对论题做严谨的分析，只能用归纳法根据自身经验来陈述。
以上",听了博主的视频感触挺多！也谢谢博主无私分享！我本科机械，研一在读双非院校软件工程，都说双非第一，但还是双非，以后想从事后端开发，于是刚进学校时开始学习java，一个月左右学完基础，但确定了研究方向图像处理，导师让看论文，学深度学习基础，复现代码，每周组会，写项目书，还有上课，毕业条件，自己能支配的时间好少，更别说实习，一学期下来感觉编程能力毫无提升。或许，真不该转码！但愿能好起来！,"对视频里大多数观点都有感悟。说说自己，
本人20，大四理工双一流本，大学荒废了三年，近半年正式学习ML和DL，我知道给我的时间几乎没有了。现在是每天只做一件事：学习！每天都过的很充实，一个人在图书馆的感觉真好。
本人学了ML，最大的收获是，我是如何学习的，不断探索学习的机制。对学习的兴趣激增。
最后，up的表达语言，很符合我对数学统计的看法。在人生的十字路口，我们何去何从，数学只有一个答案，而人生有无数种正确答案。我知道，过年后的春招，我不会收到一个算法工程师offer。但义无反顾，一年不行就多学几年，大不了找实习。
关于学习路径，我也希望自己上岸后，出一个系统的学习视频。总结这几年收获的种种（思维方式和方法论）
收获满满，关注了",作为一个大四的985科班生，的确有着比其他人相对来说好一些的起点，但这一手好牌却被我打得稀烂…编程能力严重不足，以至于对就业毫无信心，最近也时常陷入焦虑，怀疑自己当初的选择是导致今天一切痛苦的根源。慢慢深刻体会到选择一条适合自己的道路的重要性。
9,【暑假Python上岸计划】2023年 Python学习精华版教程，30天看完即可接单就业（基础+进阶案例+学习资料）,2683,1717,6802,10.0万,"置顶
希望大家可以认真学习，友好讨论窝！！

安装包➕激活码➕课件源码
WeChat：Aiot66688 免费答疑解惑
对了！B站热知识！！一个点赞是免费哒~但是可以让辛苦做视频的UP主高兴快乐一整哇！！！",逻辑不清晰，代码啰嗦，这些都是我的问题，你教学的很好,UP，给我来一份Python学习笔记,已三连求资料,C语言才是最好的语言
10,花1W多买的Python爬虫教程，零基础到实战（学完可兼职接单）,2121,1967,7530,5.4万,"置顶
全套课件+梓料实操源码加V X:【py0280】
备注：bz 即分享给需要的小伙伴 
领取的小伙伴们，关注UP主➕评论“已三连，求分享”",这是个新号对吧，我以前肯定都没看过up的视频,🤪爬虫学得好，座牢免不了,这个学会到找到工作，应该还是有点,"关注UP主，长期分享Python编程等干货知识
前往公众号【Python宝库】获取更多精彩干货！

喜欢请一键三连！收藏等于白嫖哦~"
